first_double_visual,second_double_visual,first_double_manual,second_double_manual
184,249,316.229104995728,497.499227523804
148.5,175,234.866380691528,414.385437965393
417,195,326.160192489624,433.756113052368
140.5,132,317.545890808105,346.427917480469
158.5,249,318.481922149658,316.229104995728
153,141,290.000081062317,375.596940517426
163.5,135,288.436889648438,455.886960029602
149.5,187.5,289.222002029419,329.963564872742
142.5,237,310.665130615234,473.759055137634
169.5,477.5,268.122434616089,506.610631942749
182.5,228.5,279.830455780029,388.959169387817
167.5,212,442.002415657043,454.485535621643
154,209.5,306.213021278381,499.249219894409
99.5,251,283.570051193237,437.98291683197
148,170,429.188966751099,393.935918807983
188,201,318.526029586792,316.487073898315
175,186.5,298.79093170166,298.122465610504
163,130,356.823921203613,432.254076004028
174.5,186.5,339.937210083008,446.220874786377
