SubNo,Exp,Targ,Dv
1,1,1,0.506318681318681
1,1,2,0.515095398428732
1,2,1,0.979076479076479
1,2,2,0.975678733031674
2,1,1,0.509215229215229
2,1,2,0.604018358185025
2,2,1,0.908754208754209
2,2,2,0.87037037037037
3,1,1,0.866616161616162
3,1,2,0.849163822074039
3,2,1,0.866013071895425
3,2,2,0.891774891774892
4,1,1,0.424167247538895
4,1,2,0.763100989187946
4,2,1,0.854678362573099
4,2,2,0.833812615955473
5,1,1,0.664925609370054
5,1,2,0.678669737405772
5,2,1,0.856209150326797
5,2,2,0.843962585034014
6,1,1,0.579797029988601
6,1,2,0.854793137619225
6,2,1,0.915277777777778
6,2,2,0.894642857142857
8,1,1,0.467661010764459
8,1,2,0.67130153556927
8,2,1,0.855847953216374
8,2,2,0.865351909994767
9,1,1,0.458447043534763
9,1,2,0.698595848595849
9,2,1,0.837690631808279
9,2,2,0.875850340136054
11,1,1,0.500901875901876
11,1,2,0.524470899470899
11,2,1,0.655555555555556
11,2,2,0.591490299823633
12,1,1,0.496936909038358
12,1,2,0.758588455291354
12,2,1,0.892883079157589
12,2,2,0.908653846153846
13,1,1,0.488843666621444
13,1,2,0.61507896290505
13,2,1,0.811948171081298
13,2,2,0.837434973989596
14,1,1,0.643866548923308
14,1,2,0.748012807816729
14,2,1,0.836009669343003
14,2,2,0.786309523809524
15,1,1,0.606529790660225
15,1,2,0.670874694907203
15,2,1,0.848220769789397
15,2,2,0.879166666666667
16,1,1,0.368267534934202
16,1,2,0.746666216231434
16,2,1,0.786201888162672
16,2,2,0.802659525348601
17,1,1,0.50884109916368
17,1,2,0.746065721717896
17,2,1,0.822222222222222
17,2,2,0.808163265306122
18,1,1,0.512829596597712
18,1,2,0.650854106060056
18,2,1,0.802469135802469
18,2,2,0.84375
21,1,1,0.552116402116402
21,1,2,0.889211159211159
21,2,1,0.795570079883805
21,2,2,0.810675039246468
24,1,1,0.576609686609687
24,1,2,0.773709556286283
24,2,1,0.871732026143791
24,2,2,0.92133263561835
