SubNo,Exp,Targ,Dv
1,1,1,0.919464794464794
1,1,2,0.450537117203784
1,2,1,0.226551226551227
1,2,2,0.214275614091791
2,1,1,0.860547785547785
2,1,2,0.438188231521565
2,2,1,0.228956228956229
2,2,2,0.169091710758377
3,1,1,0.483131313131313
3,1,2,0.349775409489032
3,2,1,0.255718954248366
3,2,2,0.0962323390894819
4,1,1,0.84036102963306
4,1,2,0.38603481328119
4,2,1,0.183918128654971
4,2,2,0.13358843537415
5,1,1,0.945394112060779
5,1,2,0.50219090198226
5,2,1,0.152777777777778
5,2,2,0.0684008451865595
6,1,1,0.685935640916484
6,1,2,0.423915302278474
6,2,1,0.206944444444444
6,2,2,0.247957251082251
7,1,1,0.791717541717542
7,1,2,0.409038048639498
7,2,1,0.210648148148148
7,2,2,0.205555555555556
8,1,1,0.879462385209512
8,1,2,0.388082503139711
8,2,1,0.147953216374269
8,2,2,0.139455782312925
9,1,1,0.907829759584146
9,1,2,0.412942612942613
9,2,1,0.123093681917211
9,2,2,0.138815526210484
11,1,1,0.854365079365079
11,1,2,0.430511463844797
11,2,1,0.433333333333333
11,2,2,0.377513227513228
12,1,1,0.870746246060256
12,1,2,0.450168106182599
12,2,1,0.227305737109659
12,2,2,0.145250582750583
13,1,1,0.804420928865373
13,1,2,0.449423764641156
13,2,1,0.211176088369071
13,2,2,0.198779511804722
14,1,1,0.745968456494772
14,1,2,0.315462279187769
14,2,1,0.246725496725497
14,2,2,0.0567460317460317
15,1,1,0.94402576489533
15,1,2,0.451007010991531
15,2,1,0.27923021060276
15,2,2,0.162301587301587
16,1,1,0.901958124180346
16,1,2,0.382106058193015
16,2,1,0.206744734931009
16,2,2,0.139517625231911
17,1,1,0.883393070489845
17,1,2,0.500143182099704
17,2,1,0.269590643274854
17,2,2,0.185823560193308
18,1,1,0.859735125314836
18,1,2,0.37137280784306
18,2,1,0.155945419103314
18,2,2,0.0807291666666667
21,1,1,0.720634920634921
21,1,2,0.406992701340527
21,2,1,0.233115468409586
21,2,2,0.149869178440607
24,1,1,0.698190883190883
24,1,2,0.509058410803935
24,2,1,0.125816993464052
24,2,2,0.103402946260089
